[INFO] 2026-01-28 17:03:34 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:06:08 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:07:01 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:07:20 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:07:20 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:07:29 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:16:16 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:16:20 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:16:53 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:23:30 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:24:22 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:36:56 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-30 16:18:49 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-30 16:30:20 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-30 16:31:55 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-30 18:30:49 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-30 18:31:40 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-30 18:33:35 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-30 18:34:31 - Libro creado: libro1, isbn b min
[INFO] 2026-01-30 19:33:23 - Libro creado: libro1, isbn b min
[INFO] 2026-01-30 19:33:23 - Libro creado: libro2, isbn d min
[INFO] 2026-01-30 19:33:23 - Libro creado: libro3, isbn f min
[INFO] 2026-01-30 19:33:23 - Libro creado: libro4, isbn g min
[INFO] 2026-01-30 19:36:28 - Libro creado: libro1, isbn b min
[INFO] 2026-01-30 19:36:28 - Libro creado: libro2, isbn d min
[INFO] 2026-01-30 19:36:28 - Libro creado: libro3, isbn f min
[INFO] 2026-01-30 19:36:28 - Libro creado: libro4, isbn g min
[INFO] 2026-01-30 20:04:06 - Libro creado: libro1, isbn b min
[INFO] 2026-01-30 20:04:06 - Libro creado: libro2, isbn d min
[INFO] 2026-01-30 20:04:06 - Libro creado: libro3, isbn f min
[INFO] 2026-01-30 20:04:06 - Libro creado: libro4, isbn g min
[INFO] 2026-01-30 20:05:06 - Libro creado: libro1, isbn b min
[INFO] 2026-01-30 20:05:06 - Libro creado: libro2, isbn d min
[INFO] 2026-01-30 20:05:06 - Libro creado: libro3, isbn f min
[INFO] 2026-01-30 20:05:06 - Libro creado: libro4, isbn g min
[INFO] 2026-01-30 20:06:22 - Libro creado: libro1, isbn b min
[INFO] 2026-01-30 20:06:22 - Libro creado: libro2, isbn d min
[INFO] 2026-01-30 20:06:22 - Libro creado: libro3, isbn f min
[INFO] 2026-01-30 20:06:22 - Libro creado: libro4, isbn g min
[INFO] 2026-01-30 20:09:04 - Libro creado: libro1, isbn b min
[INFO] 2026-01-30 20:09:04 - Libro creado: libro2, isbn d min
[INFO] 2026-01-30 20:09:04 - Libro creado: libro3, isbn f min
[INFO] 2026-01-30 20:09:04 - Libro creado: libro4, isbn g min
[INFO] 2026-01-30 20:10:47 - Libro creado: libro1, isbn b min
[INFO] 2026-01-30 20:10:47 - Libro creado: libro2, isbn d min
[INFO] 2026-01-30 20:10:47 - Libro creado: libro3, isbn f min
[INFO] 2026-01-30 20:10:47 - Libro creado: libro4, isbn g min
[INFO] 2026-01-30 20:11:59 - Libro creado: libro1, isbn b min
[INFO] 2026-01-30 20:11:59 - Libro creado: libro2, isbn d min
[INFO] 2026-01-30 20:11:59 - Libro creado: libro3, isbn f min
[INFO] 2026-01-30 20:11:59 - Libro creado: libro4, isbn g min
