[INFO] 2026-01-28 17:03:34 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:06:08 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:07:01 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:07:20 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:07:20 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:07:29 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:16:16 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:16:20 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:16:53 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:23:30 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:24:23 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-28 17:36:56 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-30 16:18:49 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-30 16:30:20 - Video creado: Curso de PHP, duración 120 min
[INFO] 2026-01-30 16:31:55 - Video creado: Curso de PHP, duración 120 min
