[INFO]2026-01-30 20:13:02 - Libro creado: libro1, isbn b min
[INFO]2026-01-30 20:13:02 - Libro creado: libro2, isbn d min
[INFO]2026-01-30 20:13:02 - Libro creado: libro3, isbn f min
[INFO]2026-01-30 20:13:02 - Libro creado: libro4, isbn g min
[INFO]2026-01-30 20:13:36 - Libro creado: libro1, isbn b min
[INFO]2026-01-30 20:13:36 - Libro creado: libro2, isbn d min
[INFO]2026-01-30 20:13:36 - Libro creado: libro3, isbn f min
[INFO]2026-01-30 20:13:36 - Libro creado: libro4, isbn g min
[INFO]2026-01-30 20:23:58 - Libro creado: libro1, isbn b min
[INFO]2026-01-30 20:23:58 - Libro creado: libro2, isbn d min
[INFO]2026-01-30 20:23:58 - Libro creado: libro3, isbn f min
[INFO]2026-01-30 20:23:58 - Libro creado: libro4, isbn g min
[INFO]2026-01-30 20:24:45 - Libro creado: libro1, isbn b min
[INFO]2026-01-30 20:24:45 - Libro creado: libro2, isbn d min
[INFO]2026-01-30 20:24:45 - Libro creado: libro3, isbn f min
[INFO]2026-01-30 20:24:45 - Libro creado: libro4, isbn g min
[INFO]2026-01-30 20:26:07 - Libro creado: libro1, isbn b min
[INFO]2026-01-30 20:26:07 - Libro creado: libro2, isbn d min
[INFO]2026-01-30 20:26:07 - Libro creado: libro3, isbn f min
[INFO]2026-01-30 20:26:07 - Libro creado: libro4, isbn g min
[INFO]2026-01-30 20:29:27 - Libro creado: libro1, isbn b min
[INFO]2026-01-30 20:29:27 - Libro creado: libro2, isbn d min
[INFO]2026-01-30 20:29:27 - Libro creado: libro3, isbn f min
[INFO]2026-01-30 20:29:27 - Libro creado: libro4, isbn g min
[INFO]2026-01-30 20:32:39 - Libro creado: libro1, isbn b min
[INFO]2026-01-30 20:32:39 - Libro creado: libro2, isbn d min
[INFO]2026-01-30 20:32:39 - Libro creado: libro3, isbn f min
[INFO]2026-01-30 20:32:39 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 15:26:54 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 15:26:54 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 15:26:54 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 15:26:54 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 17:19:58 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 17:19:58 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 17:19:58 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 17:19:58 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 17:21:37 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 17:21:37 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 17:21:37 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 17:21:37 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 17:53:41 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 17:53:41 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 17:53:41 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 17:53:41 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 17:58:12 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 17:58:12 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 17:58:12 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 17:58:12 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 17:59:12 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 17:59:12 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 17:59:12 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 17:59:12 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:00:30 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:00:30 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:00:31 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:00:31 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:02:05 - Libro creado: libro1, isbn b min
