[INFO] 2026-01-28 17:03:34 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:06:08 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:07:01 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:07:20 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:07:20 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:07:29 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:16:16 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:16:20 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:16:53 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:23:30 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
[INFO] 2026-01-28 17:24:22 - Libro creado: Aprendiendo PHP, isbn 978-3-16-148410-0 min
